Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,ç,œ,ɔ,ə,ɛ,a,b,e,d,g,f,i,h,k,m,l,o,n,p,s,r,u,t,v,y,z,ɽ,ɾ
Line 1,0.0,0.038461538461538464,0.0,0.15384615384615385,0.15384615384615385,0.19230769230769232,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.038461538461538464,0.0,0.15384615384615385,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693
Line 2,0.0,0.034482758620689655,0.0,0.20689655172413793,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.0,0.06896551724137931,0.0,0.06896551724137931,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.0,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.06896551724137931,0.0,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.0,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0
Line 3,0.0,0.05263157894736842,0.0,0.2631578947368421,0.05263157894736842,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
Line 4,0.034482758620689655,0.034482758620689655,0.0,0.20689655172413793,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.0,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.06896551724137931,0.0,0.06896551724137931,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.06896551724137931
Line 5,0.03571428571428571,0.03571428571428571,0.0,0.21428571428571427,0.03571428571428571,0.21428571428571427,0.03571428571428571,0.0,0.10714285714285714,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142
Line 6,0.05555555555555555,0.0,0.05555555555555555,0.2222222222222222,0.1111111111111111,0.2777777777777778,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0
Line 7,0.0,0.043478260869565216,0.0,0.2608695652173913,0.043478260869565216,0.30434782608695654,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.08695652173913043
Line 8,0.037037037037037035,0.037037037037037035,0.0,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0
Line 9,0.0,0.0,0.0,0.17391304347826086,0.08695652173913043,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.08695652173913043
Line 10,0.0,0.0,0.0,0.14285714285714285,0.10714285714285714,0.17857142857142858,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
