Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,œ,ɔ,ə,ɛ,d,a,b,e,g,ç,f,i,h,k,j,m,l,o,n,p,s,u,t,v,y,z,ɾ
Line 1,0.0,0.0,0.0,0.22727272727272727,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.09090909090909091,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
Line 2,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.09523809523809523
Line 3,0.0,0.045454545454545456,0.0,0.22727272727272727,0.0,0.2727272727272727,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.13636363636363635,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091
Line 4,0.0,0.0,0.034482758620689655,0.10344827586206896,0.10344827586206896,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0,0.10344827586206896,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
Line 5,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.1935483870967742,0.0967741935483871,0.0,0.0967741935483871,0.0,0.0,0.06451612903225806,0.0967741935483871,0.0,0.03225806451612903,0.12903225806451613,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.16129032258064516,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0967741935483871
Line 6,0.0,0.045454545454545456,0.0,0.22727272727272727,0.0,0.2727272727272727,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.13636363636363635,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091
Line 7,0.0,0.0,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.19230769230769232,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464
Line 8,0.0,0.0,0.125,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.125,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664
Line 9,0.0,0.041666666666666664,0.0,0.20833333333333334,0.041666666666666664,0.25,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.125,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664
Line 10,0.034482758620689655,0.0,0.0,0.27586206896551724,0.034482758620689655,0.3103448275862069,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.13793103448275862,0.13793103448275862,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.13793103448275862,0.0,0.13793103448275862,0.034482758620689655,0.0,0.0,0.0
