Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,ɔ,ə,ɛ,d,a,b,e,g,ç,f,i,h,k,m,l,o,n,p,s,u,t,v,y,z,ɾ
Line 1,0.0,0.0,0.030303030303030304,0.21212121212121213,0.09090909090909091,0.21212121212121213,0.06060606060606061,0.0,0.06060606060606061,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.15151515151515152,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.0,0.0,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0
Line 2,0.0,0.029411764705882353,0.058823529411764705,0.17647058823529413,0.08823529411764706,0.23529411764705882,0.029411764705882353,0.0,0.058823529411764705,0.029411764705882353,0.0,0.08823529411764706,0.0,0.0,0.08823529411764706,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.029411764705882353,0.0,0.08823529411764706,0.029411764705882353,0.0,0.14705882352941177,0.029411764705882353,0.0,0.0,0.058823529411764705,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353
Line 3,0.0,0.0,0.0,0.2777777777777778,0.027777777777777776,0.2777777777777778,0.027777777777777776,0.0,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.0,0.1111111111111111,0.0,0.08333333333333333,0.027777777777777776,0.1111111111111111,0.0,0.0,0.027777777777777776,0.05555555555555555
Line 4,0.0,0.0,0.0,0.21875,0.0625,0.25,0.0625,0.0,0.1875,0.03125,0.03125,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.03125,0.0,0.0,0.03125,0.03125,0.0,0.09375,0.0,0.09375,0.0,0.0625,0.09375,0.0,0.03125,0.03125
Line 5,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.2,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.0,0.0,0.11428571428571428,0.0,0.0,0.08571428571428572,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.05714285714285714,0.02857142857142857,0.0,0.08571428571428572,0.0,0.08571428571428572,0.0,0.08571428571428572,0.0,0.0,0.05714285714285714,0.02857142857142857
Line 6,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667
Line 7,0.0,0.0,0.07692307692307693,0.2692307692307692,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.0,0.038461538461538464,0.0,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0
Line 8,0.029411764705882353,0.0,0.029411764705882353,0.20588235294117646,0.029411764705882353,0.23529411764705882,0.11764705882352941,0.029411764705882353,0.14705882352941177,0.0,0.029411764705882353,0.0,0.029411764705882353,0.058823529411764705,0.11764705882352941,0.0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.0,0.11764705882352941,0.029411764705882353,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0
Line 9,0.0,0.0,0.0,0.21875,0.0625,0.25,0.0625,0.0,0.0625,0.0,0.03125,0.0625,0.0,0.0,0.09375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.03125,0.03125,0.09375,0.03125,0.03125,0.0,0.15625,0.0,0.0625,0.0625,0.03125,0.0,0.03125
Line 10,0.0,0.0,0.03333333333333333,0.26666666666666666,0.0,0.3,0.06666666666666667,0.0,0.1,0.03333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.0,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0.1,0.0,0.1,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333
Line 11,0.0,0.0,0.03333333333333333,0.23333333333333334,0.1,0.26666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.1,0.0,0.03333333333333333,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.1,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667
Line 12,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.20588235294117646,0.08823529411764706,0.23529411764705882,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.08823529411764706,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.0,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353
Line 13,0.0,0.02564102564102564,0.02564102564102564,0.1794871794871795,0.10256410256410256,0.23076923076923078,0.05128205128205128,0.0,0.1282051282051282,0.0,0.0,0.10256410256410256,0.0,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.1282051282051282,0.0,0.0,0.0,0.10256410256410256,0.0,0.02564102564102564,0.0,0.05128205128205128
